source_app,target_app,environment,connection_type,target_port,description
MB_APP,IB_API,UAT,HTTP,8085,Mobile Banking gọi IB API (UAT)
MB_APP,IB_AUTH,UAT,HTTP,8090,Mobile Banking xác thực Auth (UAT)
PAY_QR,PAY_GATEWAY,UAT,HTTPS,443,QR Payment qua Payment Gateway (UAT)
PAY_GATEWAY,CORE_CBS,UAT,HTTP,8080,Payment Gateway kiểm tra Core Banking (UAT)
CORE_CBS,CORE_TRAN,UAT,GRPC,9093,Core Banking gọi Transaction Engine (UAT)
CORE_CBS,CORE_ACCT,UAT,HTTP,8081,Core Banking đồng bộ tài khoản (UAT)
CORE_CBS,POSTGRES_CORE,UAT,DATABASE,5432,Core Banking kết nối DB (UAT)
CORE_LOAN,CORE_CBS,UAT,HTTP,8080,Loan Management truy vấn Core Banking (UAT)
CORE_ACCT,POSTGRES_CORE,UAT,DATABASE,5432,Account Management lưu DB (UAT)
IB_PORTAL,IB_API,DEV,HTTP,8085,IB Portal gọi IB API (DEV)
IB_API,CORE_CBS,DEV,HTTP,8080,IB API truy vấn Core Banking (DEV)
IB_API,CORE_TRAN,DEV,GRPC,9093,IB API gọi Transaction Engine gRPC (DEV)
MB_APP,IB_API,DEV,HTTP,8085,Mobile Banking gọi IB API (DEV)
MB_APP,MB_PUSH,DEV,HTTP,8093,Mobile App gửi push notification (DEV)
PAY_QR,PAY_GATEWAY,DEV,HTTPS,443,QR Payment qua Payment Gateway (DEV)
PAY_GATEWAY,CORE_CBS,DEV,HTTP,8080,Payment Gateway kiểm tra Core Banking (DEV)
CORE_CBS,CORE_TRAN,DEV,GRPC,9093,Core Banking gọi Transaction Engine (DEV)
CORE_CBS,CORE_ACCT,DEV,HTTP,8081,Core Banking đồng bộ Account Management (DEV)
CORE_CBS,POSTGRES_CORE,DEV,DATABASE,5432,Core Banking kết nối DB (DEV)
CORE_CBS,REDIS_SESSION,DEV,TCP,6379,Core Banking cache Redis (DEV)
CORE_CBS,ELASTICSEARCH,DEV,HTTP,9200,Core Banking index dữ liệu tìm kiếm khách hàng (DEV)
CORE_TRAN,RABBITMQ_BROKER,DEV,AMQP,5672,Transaction Engine publish sự kiện (DEV)
CORE_ACCT,POSTGRES_CORE,DEV,DATABASE,5432,Account Management lưu DB (DEV)
ADMIN_PORTAL,CORE_CBS,DEV,HTTP,8080,Admin Portal quản trị Core Banking (DEV)
