ip,code,name,hostname,environment,site,purpose,status,infra_type,system,system_name,os,cpu,ram,total_storage_gb,description
10.10.30.23,SRV-DC-APP-MB-03,MB Backend 03,mb03.prod.dc,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,MOBILE_BANKING,Mobile Banking,Ubuntu 22.04,16,64,500,Mobile Backend Node 03
10.10.30.31,SRV-DC-APP-ADM-01,Admin Portal 01,adm01.prod.dc,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,ADMIN_TOOLS,Admin Tools,Ubuntu 22.04,8,32,200,Internal Admin Portal 01
10.10.30.32,SRV-DC-APP-ADM-02,Admin Portal 02,adm02.prod.dc,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,ADMIN_TOOLS,Admin Tools,Ubuntu 22.04,8,32,200,Internal Admin Portal 02
10.10.40.11,SRV-DC-SVC-CORE-01,Core Banking 01,cbs01.prod.dc,PROD,DC,APP_SERVER,ACTIVE,PHYSICAL_SERVER,CORE_BANKING,Core Banking,RHEL 8.6,32,256,1000,Core Banking Engine Node 01
10.10.40.12,SRV-DC-SVC-CORE-02,Core Banking 02,cbs02.prod.dc,PROD,DC,APP_SERVER,ACTIVE,PHYSICAL_SERVER,CORE_BANKING,Core Banking,RHEL 8.6,32,256,1000,Core Banking Engine Node 02
10.10.40.13,SRV-DC-SVC-CORE-03,Core Banking 03,cbs03.prod.dc,PROD,DC,APP_SERVER,ACTIVE,PHYSICAL_SERVER,CORE_BANKING,Core Banking,RHEL 8.6,32,256,1000,Core Banking Engine Node 03
10.10.40.14,SRV-DC-SVC-CORE-04,Core Banking 04,cbs04.prod.dc,PROD,DC,APP_SERVER,ACTIVE,PHYSICAL_SERVER,CORE_BANKING,Core Banking,RHEL 8.6,32,256,1000,Core Banking Engine Node 04
10.10.40.21,SRV-DC-SVC-PAY-01,Payment Service 01,pay01.prod.dc,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,PAYMENT,Hệ thống Thanh toán,Ubuntu 22.04,16,64,500,Payment Hub Node 01
10.10.40.22,SRV-DC-SVC-PAY-02,Payment Service 02,pay02.prod.dc,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,PAYMENT,Hệ thống Thanh toán,Ubuntu 22.04,16,64,500,Payment Hub Node 02
10.10.40.31,SRV-DC-SVC-CARD-01,Card Service 01,card01.prod.dc,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,CARD_SYSTEM,Hệ thống Thẻ,Ubuntu 22.04,16,64,500,Card Management Node 01
10.10.40.32,SRV-DC-SVC-CARD-02,Card Service 02,card02.prod.dc,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,CARD_SYSTEM,Hệ thống Thẻ,Ubuntu 22.04,16,64,500,Card Management Node 02
10.10.40.41,SRV-DC-SVC-LOAN-01,Loan Service 01,loan01.prod.dc,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,LOAN_SYSTEM,Hệ thống Tín dụng,Ubuntu 22.04,16,64,500,Loan Processing Node 01
10.10.40.42,SRV-DC-SVC-LOAN-02,Loan Service 02,loan02.prod.dc,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,LOAN_SYSTEM,Hệ thống Tín dụng,Ubuntu 22.04,16,64,500,Loan Processing Node 02
10.10.40.51,SRV-DC-SVC-AUDIT-01,Audit Service,audit01.prod.dc,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,ADMIN_TOOLS,Admin Tools,Ubuntu 22.04,8,16,200,Compliance & Audit logging
10.10.40.52,SRV-DC-SVC-NOTIFY-01,Notify Service,notif01.prod.dc,PROD,DC,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Common Infra,Ubuntu 22.04,8,16,200,Email/SMS/Push Notification Hub
10.10.50.11,SRV-DC-DB-CORE-01,Core DB Primary,db-core01.prod.dc,PROD,DC,DB_SERVER,ACTIVE,PHYSICAL_SERVER,CORE_BANKING,Core Banking,RHEL 8.6,64,512,10000,PostgreSQL Master Node
10.10.50.12,SRV-DC-DB-CORE-02,Core DB Standby,db-core02.prod.dc,PROD,DC,DB_SERVER,ACTIVE,PHYSICAL_SERVER,CORE_BANKING,Core Banking,RHEL 8.6,64,512,10000,PostgreSQL Synchronous Standby
10.10.50.13,SRV-DC-DB-CORE-03,Core DB Read-01,db-core03.prod.dc,PROD,DC,DB_SERVER,ACTIVE,PHYSICAL_SERVER,CORE_BANKING,Core Banking,RHEL 8.6,64,512,10000,PostgreSQL Read-only Replica 01
10.10.50.21,SRV-DC-DB-PAY-01,Payment DB Primary,db-pay01.prod.dc,PROD,DC,DB_SERVER,ACTIVE,VIRTUAL_MACHINE,PAYMENT,Hệ thống Thanh toán,RHEL 8.6,32,128,5000,Payment System Database Node 01
10.10.50.22,SRV-DC-DB-PAY-02,Payment DB Standby,db-pay02.prod.dc,PROD,DC,DB_SERVER,ACTIVE,VIRTUAL_MACHINE,PAYMENT,Hệ thống Thanh toán,RHEL 8.6,32,128,5000,Payment System Database Node 02
10.10.50.31,SRV-DC-DB-MB-01,Mobile DB Primary,db-mb01.prod.dc,PROD,DC,DB_SERVER,ACTIVE,VIRTUAL_MACHINE,MOBILE_BANKING,Mobile Banking,RHEL 8.6,32,128,2000,Mobile Banking Database
10.10.60.11,SRV-DC-REDIS-01,Redis Cluster 01,redis01.prod.dc,PROD,DC,CACHE,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Common Infra,Ubuntu 22.04,16,64,200,Redis Cluster Node 01
10.10.60.12,SRV-DC-REDIS-02,Redis Cluster 02,redis02.prod.dc,PROD,DC,CACHE,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Common Infra,Ubuntu 22.04,16,64,200,Redis Cluster Node 02
10.10.60.13,SRV-DC-REDIS-03,Redis Cluster 03,redis03.prod.dc,PROD,DC,CACHE,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Common Infra,Ubuntu 22.04,16,64,200,Redis Cluster Node 03
10.10.60.21,SRV-DC-MQ-01,RabbitMQ Cluster 01,mq01.prod.dc,PROD,DC,MESSAGE_QUEUE,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Common Infra,Ubuntu 22.04,8,32,500,RabbitMQ Node 01
10.10.60.22,SRV-DC-MQ-02,RabbitMQ Cluster 02,mq02.prod.dc,PROD,DC,MESSAGE_QUEUE,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Common Infra,Ubuntu 22.04,8,32,500,RabbitMQ Node 02
10.10.60.23,SRV-DC-MQ-03,RabbitMQ Cluster 03,mq03.prod.dc,PROD,DC,MESSAGE_QUEUE,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Common Infra,Ubuntu 22.04,8,32,500,RabbitMQ Node 03
10.10.60.31,SRV-DC-ELK-01,Elasticsearch 01,elk01.prod.dc,PROD,DC,OTHER,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Common Infra,Ubuntu 22.04,32,128,5000,Log Aggregation Node 01
10.10.60.32,SRV-DC-ELK-02,Elasticsearch 02,elk02.prod.dc,PROD,DC,OTHER,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Common Infra,Ubuntu 22.04,32,128,5000,Log Aggregation Node 02
10.10.200.11,SRV-DC-MGMT-JUMP,Jumpbox Admin,jump.prod.dc,PROD,DC,OTHER,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Common Infra,Ubuntu 22.04,4,8,100,Bastion Host DC
10.10.200.21,SRV-DC-MGMT-MON,Monitoring 01,mon01.prod.dc,PROD,DC,OTHER,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Common Infra,Ubuntu 22.04,16,64,1000,Prometheus & Grafana
10.10.200.22,SRV-DC-MGMT-LOG,Log Analyzer,log01.prod.dc,PROD,DC,OTHER,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Common Infra,Ubuntu 22.04,16,64,1000,Kibana Dashboard
10.20.10.11,SRV-DR-LB-01,Load Balancer DR 01,lb01.prod.dr,PROD,DR,LOAD_BALANCER,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,Ubuntu 22.04,8,16,100,F5 BIG-IP DR Node 01
10.20.10.12,SRV-DR-LB-02,Load Balancer DR 02,lb02.prod.dr,PROD,DR,LOAD_BALANCER,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,Ubuntu 22.04,8,16,100,F5 BIG-IP DR Node 02
10.20.20.11,SRV-DR-GW-01,API Gateway DR 01,gw01.prod.dr,PROD,DR,PROXY,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,Ubuntu 22.04,16,64,500,Kong Gateway DR Node 01
10.20.20.12,SRV-DR-GW-02,API Gateway DR 02,gw02.prod.dr,PROD,DR,PROXY,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,Ubuntu 22.04,16,64,500,Kong Gateway DR Node 02
10.20.30.11,SRV-DR-APP-IB-01,IB Portal DR,ib01.prod.dr,PROD,DR,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,INTERNET_BANKING,Internet Banking,Ubuntu 22.04,16,64,500,IB Portal Standby DR
10.20.30.21,SRV-DR-APP-MB-01,MB Backend DR,mb01.prod.dr,PROD,DR,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,MOBILE_BANKING,Mobile Banking,Ubuntu 22.04,16,64,500,Mobile Backend Standby DR
10.20.40.11,SRV-DR-SVC-CORE-01,Core Banking DR 01,cbs01.prod.dr,PROD,DR,APP_SERVER,ACTIVE,PHYSICAL_SERVER,CORE_BANKING,Core Banking,RHEL 8.6,32,256,1000,Core Standby DR Node 01
10.20.40.12,SRV-DR-SVC-CORE-02,Core Banking DR 02,cbs02.prod.dr,PROD,DR,APP_SERVER,ACTIVE,PHYSICAL_SERVER,CORE_BANKING,Core Banking,RHEL 8.6,32,256,1000,Core Standby DR Node 02
10.20.40.21,SRV-DR-SVC-PAY-01,Payment Service DR,pay01.prod.dr,PROD,DR,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,PAYMENT,Hệ thống Thanh toán,Ubuntu 22.04,16,64,500,Payment Standby DR
10.20.50.11,SRV-DR-DB-CORE-01,Core DB Replica DR,db-core01.prod.dr,PROD,DR,DB_SERVER,ACTIVE,PHYSICAL_SERVER,CORE_BANKING,Core Banking,RHEL 8.6,64,512,10000,PostgreSQL Sync Replica at DR
10.20.50.12,SRV-DR-DB-CORE-02,Core DB Replica DR 02,db-core02.prod.dr,PROD,DR,DB_SERVER,ACTIVE,PHYSICAL_SERVER,CORE_BANKING,Core Banking,RHEL 8.6,64,512,10000,PostgreSQL Async Replica at DR
10.20.60.11,SRV-DR-REDIS-01,Redis DR,redis01.prod.dr,PROD,DR,CACHE,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Common Infra,Ubuntu 22.04,16,64,200,Redis Standby DR
10.20.60.21,SRV-DR-MQ-01,RabbitMQ DR,mq01.prod.dr,PROD,DR,MESSAGE_QUEUE,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Common Infra,Ubuntu 22.04,8,32,500,RabbitMQ Standby DR
10.30.30.11,SRV-UAT-APP-01,UAT App 01,app01.uat,UAT,TEST,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,CORE_BANKING,Core Banking,Ubuntu 22.04,8,32,500,UAT App Node 01
10.30.30.12,SRV-UAT-APP-02,UAT App 02,app02.uat,UAT,TEST,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,CORE_BANKING,Core Banking,Ubuntu 22.04,8,32,500,UAT App Node 02
10.30.40.11,SRV-UAT-SVC-01,UAT Service 01,svc01.uat,UAT,TEST,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,CORE_BANKING,Core Banking,Ubuntu 22.04,8,32,500,UAT Service Node 01
10.30.40.12,SRV-UAT-SVC-02,UAT Service 02,svc02.uat,UAT,TEST,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,CORE_BANKING,Core Banking,Ubuntu 22.04,8,32,500,UAT Service Node 02
10.30.50.11,SRV-UAT-DB-01,UAT DB Primary,db01.uat,UAT,TEST,DB_SERVER,ACTIVE,VIRTUAL_MACHINE,CORE_BANKING,Core Banking,RHEL 8.6,16,64,1000,UAT Database Node 01
10.30.50.12,SRV-UAT-DB-02,UAT DB Standby,db02.uat,UAT,TEST,DB_SERVER,ACTIVE,VIRTUAL_MACHINE,CORE_BANKING,Core Banking,RHEL 8.6,16,64,1000,UAT Database Node 02
10.30.100.1,PC-UAT-TEST-01,Tester PC 01,tester01.internal,UAT,TEST,OTHER,ACTIVE,PHYSICAL_SERVER,INFRA_COMMON,Common Infra,Windows 11,8,16,512,Máy tính Tester 01
10.30.100.2,PC-UAT-TEST-02,Tester PC 02,tester02.internal,UAT,TEST,OTHER,ACTIVE,PHYSICAL_SERVER,INFRA_COMMON,Common Infra,Windows 11,8,16,512,Máy tính Tester 02
10.30.100.3,PC-UAT-TEST-03,Tester PC 03,tester03.internal,UAT,TEST,OTHER,ACTIVE,PHYSICAL_SERVER,INFRA_COMMON,Common Infra,MacOS,10,32,512,Máy tính Tester 03
10.30.100.4,PC-UAT-TEST-04,Tester PC 04,tester04.internal,UAT,TEST,OTHER,ACTIVE,PHYSICAL_SERVER,INFRA_COMMON,Common Infra,Windows 11,8,16,512,Máy tính Tester 04
10.30.100.5,PC-UAT-TEST-05,Tester PC 05,tester05.internal,UAT,TEST,OTHER,ACTIVE,PHYSICAL_SERVER,INFRA_COMMON,Common Infra,Windows 11,8,16,512,Máy tính Tester 05
10.40.30.11,SRV-DEV-APP-01,DEV App 01,app01.dev,DEV,TEST,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,CORE_BANKING,Core Banking,Ubuntu 22.04,4,16,200,DEV App Node 01
10.40.40.11,SRV-DEV-SVC-01,DEV Service 01,svc01.dev,DEV,TEST,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,CORE_BANKING,Core Banking,Ubuntu 22.04,4,16,200,DEV Service Node 01
10.40.40.12,SRV-DEV-SVC-02,DEV Service 02,svc02.dev,DEV,TEST,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,CORE_BANKING,Core Banking,Ubuntu 22.04,4,16,200,DEV Service Node 02
10.40.50.11,SRV-DEV-DB-01,DEV DB Primary,db01.dev,DEV,TEST,DB_SERVER,ACTIVE,VIRTUAL_MACHINE,CORE_BANKING,Core Banking,RHEL 8.6,8,32,500,DEV Database Node 01
10.40.100.1,PC-DEV-STAFF-01,Dev PC 01,dev01.internal,DEV,TEST,OTHER,ACTIVE,PHYSICAL_SERVER,INFRA_COMMON,Common Infra,Windows 11,16,32,512,Máy tính Developer 01
10.40.100.2,PC-DEV-STAFF-02,Dev PC 02,dev02.internal,DEV,TEST,OTHER,ACTIVE,PHYSICAL_SERVER,INFRA_COMMON,Common Infra,MacOS,10,32,1000,Máy tính Developer 02
10.40.100.3,PC-DEV-STAFF-03,Dev PC 03,dev03.internal,DEV,TEST,OTHER,ACTIVE,PHYSICAL_SERVER,INFRA_COMMON,Common Infra,Windows 11,16,32,512,Máy tính Developer 03
10.40.100.4,PC-DEV-STAFF-04,Dev PC 04,dev04.internal,DEV,TEST,OTHER,ACTIVE,PHYSICAL_SERVER,INFRA_COMMON,Common Infra,Windows 11,16,32,512,Máy tính Developer 04
10.40.100.5,PC-DEV-STAFF-05,Dev PC 05,dev05.internal,DEV,TEST,OTHER,ACTIVE,PHYSICAL_SERVER,INFRA_COMMON,Common Infra,MacOS,12,64,1000,Máy tính Developer 05
10.40.100.6,PC-DEV-STAFF-06,Dev PC 06,dev06.internal,DEV,TEST,OTHER,ACTIVE,PHYSICAL_SERVER,INFRA_COMMON,Common Infra,Windows 11,16,32,512,Máy tính Developer 06
10.40.100.7,PC-DEV-STAFF-07,Dev PC 07,dev07.internal,DEV,TEST,OTHER,ACTIVE,PHYSICAL_SERVER,INFRA_COMMON,Common Infra,Windows 11,16,32,512,Máy tính Developer 07
10.40.100.8,PC-DEV-STAFF-08,Dev PC 08,dev08.internal,DEV,TEST,OTHER,ACTIVE,PHYSICAL_SERVER,INFRA_COMMON,Common Infra,MacOS,10,32,512,Máy tính Developer 08
10.40.100.9,PC-DEV-STAFF-09,Dev PC 09,dev09.internal,DEV,TEST,OTHER,ACTIVE,PHYSICAL_SERVER,INFRA_COMMON,Common Infra,Windows 11,16,32,512,Máy tính Developer 09
10.40.100.10,PC-DEV-STAFF-10,Dev PC 10,dev10.internal,DEV,TEST,OTHER,ACTIVE,PHYSICAL_SERVER,INFRA_COMMON,Common Infra,Windows 11,16,32,512,Máy tính Developer 10
