application_code,server_code,environment,version,status,deployer,port,protocol,service_name
CORE_ACCT,SRV-UAT-APP-001,UAT,2.9.0-RC1,RUNNING,Team Core Banking,8081,HTTP,account-mgmt
CORE_TRAN,SRV-UAT-APP-001,UAT,2.9.0-RC1,RUNNING,Team Core Banking,8082,HTTP,transaction-engine
CORE_LOAN,SRV-UAT-APP-001,UAT,2.0.0-RC1,RUNNING,Team Tín dụng,8083,HTTP,loan-mgmt
IB_PORTAL,SRV-UAT-APP-001,UAT,5.3.0-BETA,RUNNING,Team Digital,3000,HTTP,ib-portal
IB_API,SRV-UAT-APP-001,UAT,4.2.0-BETA,RUNNING,Team Digital,8085,HTTP,ib-api
IB_AUTH,SRV-UAT-APP-001,UAT,3.1.0-BETA,RUNNING,Team Digital,8090,HTTP,auth-service
MB_APP,SRV-UAT-APP-001,UAT,6.5.0-BETA,RUNNING,Team Mobile,8088,HTTP,mobile-banking
PAY_GATEWAY,SRV-UAT-GW-001,UAT,3.3.0-BETA,RUNNING,Team Thanh toán,443,HTTPS,payment-gateway
PAY_QR,SRV-UAT-APP-001,UAT,1.6.0-BETA,RUNNING,Team Thanh toán,8096,HTTP,qr-payment
NGINX_PROXY,SRV-UAT-GW-001,UAT,1.24.0,RUNNING,DevOps Team,80,HTTP,nginx
REDIS_SESSION,SRV-UAT-APP-001,UAT,7.0.11,RUNNING,DevOps Team,6379,TCP,redis
POSTGRES_CORE,SRV-UAT-DB-001,UAT,15.4,RUNNING,DBA Team,5432,TCP,postgres-core
CORE_CBS,SRV-DEV-APP-001,DEV,3.6.0-SNAPSHOT,RUNNING,Team Core Banking,8080,HTTP,core-banking
CORE_ACCT,SRV-DEV-APP-001,DEV,2.9.0-SNAPSHOT,RUNNING,Team Core Banking,8081,HTTP,account-mgmt
CORE_TRAN,SRV-DEV-APP-002,DEV,2.9.0-SNAPSHOT,RUNNING,Team Core Banking,8082,HTTP,transaction-engine
IB_PORTAL,SRV-DEV-APP-001,DEV,5.3.0-dev,RUNNING,Team Digital,3000,HTTP,ib-portal
IB_API,SRV-DEV-APP-001,DEV,4.2.0-dev,RUNNING,Team Digital,8085,HTTP,ib-api
MB_APP,SRV-DEV-APP-002,DEV,6.5.0-dev,RUNNING,Team Mobile,8088,HTTP,mobile-banking
MB_PUSH,SRV-DEV-APP-002,DEV,2.2.0-dev,RUNNING,Team Mobile,8093,HTTP,push-notify
PAY_GATEWAY,SRV-DEV-APP-002,DEV,3.3.0-dev,RUNNING,Team Thanh toán,443,HTTPS,payment-gateway
PAY_QR,SRV-DEV-APP-002,DEV,1.6.0-dev,RUNNING,Team Thanh toán,8096,HTTP,qr-payment
ADMIN_PORTAL,SRV-DEV-APP-001,DEV,3.2.0-dev,RUNNING,Team Vận hành,9090,HTTP,admin-portal
POSTGRES_CORE,SRV-DEV-DB-001,DEV,15.4,RUNNING,DBA Team,5432,TCP,postgres-core
REDIS_SESSION,SRV-DEV-CACHE-001,DEV,7.0.11,RUNNING,DevOps Team,6379,TCP,redis
RABBITMQ_BROKER,SRV-DEV-APP-002,DEV,3.12.4,RUNNING,DevOps Team,5672,TCP,rabbitmq
ELASTICSEARCH,SRV-DEV-APP-001,DEV,8.11.0,RUNNING,DevOps Team,9200,HTTP,elasticsearch
