ip,code,name,hostname,environment,site,purpose,status,infra_type,system,system_name,os,cpu,ram,total_storage_gb,description
192.168.30.11,SRV-UAT-APP-001,App Server UAT,app01.uat.internal,UAT,TEST,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,CORE_BANKING,Hệ thống Core Banking,Ubuntu Server 22.04 LTS,8,32,300,Môi trường UAT - kiểm thử nghiệm thu
192.168.30.21,SRV-UAT-DB-001,Database Server UAT,db01.uat.internal,UAT,TEST,DB_SERVER,ACTIVE,VIRTUAL_MACHINE,CORE_BANKING,Hệ thống Core Banking,RHEL 8.6,8,32,500,UAT PostgreSQL - cơ sở dữ liệu kiểm thử
192.168.30.31,SRV-UAT-GW-001,API Gateway UAT,gateway.uat.internal,UAT,TEST,PROXY,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,Ubuntu Server 22.04 LTS,4,16,100,Nginx gateway cho môi trường UAT
192.168.40.11,SRV-DEV-APP-001,App Server DEV 01,app01.dev.internal,DEV,TEST,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,CORE_BANKING,Hệ thống Core Banking,Ubuntu Server 22.04 LTS,8,16,200,Môi trường DEV - phát triển Core Banking & Internet Banking
192.168.40.12,SRV-DEV-APP-002,App Server DEV 02,app02.dev.internal,DEV,TEST,APP_SERVER,ACTIVE,VIRTUAL_MACHINE,MOBILE_BANKING,Hệ thống Mobile Banking,Ubuntu Server 22.04 LTS,8,16,200,Môi trường DEV - phát triển Mobile Banking & Payment
192.168.40.21,SRV-DEV-DB-001,Database Server DEV,db01.dev.internal,DEV,TEST,DB_SERVER,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Hạ tầng dùng chung,RHEL 8.6,4,16,200,DEV PostgreSQL - dùng chung cho tất cả team phát triển
192.168.40.51,SRV-DEV-CACHE-001,Cache Server DEV,cache01.dev.internal,DEV,TEST,CACHE,ACTIVE,VIRTUAL_MACHINE,INFRA_COMMON,Hạ tầng dùng chung,Ubuntu Server 22.04 LTS,4,8,100,Redis standalone cho môi trường DEV
192.168.10.71,SRV-PROD-APP-003,App Server PROD 03,app03.prod.internal,PROD,DC,APP_SERVER,MAINTENANCE,VIRTUAL_MACHINE,MOBILE_BANKING,Hệ thống Mobile Banking,Ubuntu Server 22.04 LTS,16,64,500,Server Mobile Banking - đang bảo trì nâng cấp RAM
192.168.20.31,SRV-DR-GW-001,API Gateway DR,gateway.dr.internal,PROD,DR,PROXY,ACTIVE,VIRTUAL_MACHINE,GATEWAY,Cổng API & ESB,Ubuntu Server 22.04 LTS,8,16,100,DR site - Nginx gateway dự phòng
192.168.10.81,SRV-PROD-DB-003,Database Server PROD 03,db03.prod.internal,PROD,DC,DB_SERVER,ACTIVE,PHYSICAL_SERVER,MOBILE_BANKING,Hệ thống Mobile Banking,RHEL 8.6,32,128,5000,PostgreSQL cho Mobile Banking - tách riêng khỏi Core Banking
